Multi Channel Analyzer Raw Data
Version: 1

Channel: 86
[s]	[µV]
0.356	33.49643
0.3561	24.775696
0.3562	36.243526
0.3563	28.546474
0.3564	13.230118
0.3565	21.70465
0.3566	25.630924
0.3567	21.302952
0.3568	39.081328
0.3569	23.557644
0.357	13.968724
0.3571	26.745312
0.3572	18.167116
0.3573	13.968724
0.3574	13.15237
0.3575	23.026366
0.3576	17.42851
0.3577	2.52681
0.3578	12.530386
0.3579	20.162648
0.358	-5.805184
0.3581	6.686328
0.3582	21.095624
0.3583	9.97766
0.3584	-3.589366
0.3585	-1.205094
0.3586	9.537088
0.3587	9.0706
0.3588	15.22565
0.3589	8.202414
0.359	1.891868
0.3591	3.472744
0.3592	3.148794
0.3593	-5.869974
0.3594	-17.661754
0.3595	-7.90438
0.3596	-16.482576
0.3597	-18.024578
0.3598	-28.611264
0.3599	-30.179182
0.36	-16.962022
0.3601	-7.282396
0.3602	-4.431636
0.3603	-11.001342
0.3604	-15.795802
0.3605	-25.695714
0.3606	-24.594284
0.3607	-22.28776
0.3608	-8.072834
0.3609	-33.224312
0.361	-36.360148
0.3611	-32.65416
0.3612	-39.794018
0.3613	-29.634946
0.3614	-32.667118
0.3615	-26.602774
0.3616	-44.808764
0.3617	-24.840486
0.3618	-36.036198
0.3619	-34.558986
0.362	-29.453534
0.3621	-33.483472
0.3622	-49.408854
0.3623	-37.655948
0.3624	-34.312784
0.3625	-40.416002
0.3626	-31.591604
0.3627	-37.526368
0.3628	-39.78106
0.3629	-43.953536
0.363	-18.478108
0.3631	-20.901254
0.3632	-22.495088
0.3633	-20.888296
0.3634	-34.494196
0.3635	-47.698398
0.3636	-56.315468
0.3637	-62.081778
0.3638	-42.463366
0.3639	-50.782402
0.364	-55.486156
0.3641	-51.210016
0.3642	-45.560328
0.3643	-50.445494
0.3644	-40.182758
0.3645	-41.672928
0.3646	-48.035306
0.3647	-55.615736
0.3648	-60.798936
0.3649	-47.776146
0.365	-53.736826
0.3651	-60.008498
0.3652	-51.080436
0.3653	-39.599648
0.3654	-31.68231
0.3655	-34.636734
0.3656	-46.13048
0.3657	-44.756932
0.3658	-33.185438
0.3659	-52.713144
0.366	-72.992414
0.3661	-44.64031
0.3662	-48.78687
0.3663	-56.937452
0.3664	-47.024582
0.3665	-36.08803
0.3666	-32.317252
0.3667	-40.94728
0.3668	-42.592946
0.3669	-37.655948
0.367	-39.871766
0.3671	-39.366404
0.3672	-40.519666
0.3673	-39.599648
0.3674	-47.866852
0.3675	-34.520112
0.3676	-25.747546
0.3677	-39.431194
0.3678	-42.424492
0.3679	-34.247994
0.368	-26.460236
0.3681	-8.578196
0.3682	-18.892764
0.3683	-34.844062
0.3684	-39.288656
0.3685	-41.970962
0.3686	-29.93298
0.3687	-26.058538
0.3688	-19.437
0.3689	-21.96381
0.369	-40.117968
0.3691	-34.934768
0.3692	-10.638518
0.3693	-23.246652
0.3694	-25.760504
0.3695	-25.281058
0.3696	-20.0849
0.3697	-3.848526
0.3698	6.427168
0.3699	-5.857016
0.37	-13.878018
0.3701	-14.694372
0.3702	-21.730566
0.3703	-29.1555
0.3704	-29.99777
0.3705	-4.768544
0.3706	-7.606346
0.3707	-5.144326
0.3708	0.557194
0.3709	-1.321716
0.371	8.059876
0.3711	-1.529044
0.3712	-3.472744
0.3713	0.6479
0.3714	-19.061218
0.3715	-3.770778
0.3716	-5.818142
0.3717	0.51832
0.3718	33.43164
0.3719	32.343168
0.372	28.067028
0.3721	5.338696
0.3722	6.504916
0.3723	16.210458
0.3724	18.970512
0.3725	30.64567
0.3726	10.871762
0.3727	1.74933
0.3728	13.463362
0.3729	9.873996
0.373	20.110816
0.3731	15.16086
0.3732	25.708672
0.3733	29.621988
0.3734	26.732354
0.3735	18.452192
0.3736	11.066132
0.3737	16.987938
0.3738	17.856124
0.3739	12.56926
0.374	16.767652
0.3741	25.46247
0.3742	7.19169
0.3743	-4.574174
0.3744	7.411976
0.3745	26.771228
0.3746	25.488386
0.3747	34.390532
0.3748	40.377128
0.3749	25.047814
0.375	8.046918
0.3751	8.733692
0.3752	2.539768
0.3753	11.999108
0.3754	38.277932
0.3755	29.660862
0.3756	26.006706
0.3757	12.258268
0.3758	7.90438
0.3759	7.697052
0.376	1.930742
0.3761	13.748438
0.3762	45.443706
0.3763	35.025474
0.3764	15.536642
0.3765	24.386956
0.3766	38.109478
0.3767	32.91332
0.3768	23.233694
0.3769	7.100984
0.377	4.40572
0.3771	10.04245
0.3772	22.35255
0.3773	13.683648
0.3774	-7.826632
0.3775	-12.193478
0.3776	-5.76631
0.3777	12.815462
0.3778	8.072834
0.3779	8.35791
0.378	5.805184
0.3781	9.26497
0.3782	-7.697052
0.3783	-12.595176
0.3784	-0.51832
0.3785	6.34942
0.3786	1.412422
0.3787	1.347632
0.3788	7.088026
0.3789	-0.71269
0.379	4.72967
0.3791	-9.39455
0.3792	2.07328
0.3793	-5.222074
0.3794	-6.362378
0.3795	-17.532174
0.3796	-4.833334
0.3797	-13.54111
0.3798	-23.816804
0.3799	-14.409296
0.38	-8.280162
0.3801	0.025916
0.3802	-7.424934
0.3803	-5.740394
0.3804	-6.258714
0.3805	-19.812782
0.3806	-18.102326
0.3807	-22.261844
0.3808	-29.259164
0.3809	-30.891872
0.381	-14.953532
0.3811	-8.513406
0.3812	-24.762738
0.3813	-45.443706
0.3814	-32.356126
0.3815	-33.88517
0.3816	-14.979448
0.3817	-32.291336
0.3818	-39.755144
0.3819	-34.947726
0.382	-41.98392
0.3821	-31.773016
0.3822	-38.35568
0.3823	-44.743974
0.3824	-40.403044
0.3825	-39.534858
0.3826	-54.190356
0.3827	-42.294912
0.3828	-33.600094
0.3829	-29.86819
0.383	-37.357914
0.3831	-36.191694
0.3832	-44.64031
0.3833	-39.97543
0.3834	-42.165332
0.3835	-52.790892
0.3836	-47.581776
0.3837	-47.141204
0.3838	-38.174268
0.3839	-51.521008
0.384	-51.585798
0.3841	-49.616182
0.3842	-45.560328
0.3843	-49.318148
0.3844	-49.36998
0.3845	-61.343172
0.3846	-47.542902
0.3847	-42.165332
0.3848	-47.076414
0.3849	-38.09652
0.385	-40.55854
0.3851	-58.621992
0.3852	-57.261402
0.3853	-52.337362
0.3854	-46.596968
0.3855	-37.915108
0.3856	-33.029942
