Multi Channel Analyzer Raw Data
Version: 1

Channel: 17
[s]	[µV]
0.4042	326.321314
0.4043	340.160458
0.4044	333.240886
0.4045	338.864658
0.4046	334.497812
0.4047	330.377168
0.4048	324.753396
0.4049	332.800314
0.405	318.352144
0.4051	335.651074
0.4052	360.737762
0.4053	339.266356
0.4054	331.439724
0.4055	333.47413
0.4056	335.378956
0.4057	341.76725
0.4058	336.51926
0.4059	335.987982
0.406	335.132754
0.4061	330.532664
0.4062	325.56975
0.4063	312.67654
0.4064	329.016578
0.4065	327.57824
0.4066	323.289142
0.4067	304.137218
0.4068	310.79763
0.4069	316.23999
0.407	334.38119
0.4071	329.39236
0.4072	325.155094
0.4073	341.611754
0.4074	329.612646
0.4075	320.179222
0.4076	331.232396
0.4077	325.44017
0.4078	299.78333
0.4079	305.35527
0.408	308.957594
0.4081	318.83159
0.4082	323.794504
0.4083	312.184136
0.4084	307.700668
0.4085	301.960274
0.4086	284.88163
0.4087	290.06483
0.4088	287.34365
0.4089	282.886098
0.409	295.273946
0.4091	296.02551
0.4092	287.08449
0.4093	295.18324
0.4094	285.127832
0.4095	269.344988
0.4096	293.550532
0.4097	303.852142
0.4098	283.546956
0.4099	268.217642
0.41	266.131404
0.4101	286.24222
0.4102	277.871352
0.4103	267.310582
0.4104	256.879392
0.4105	257.47546
0.4106	252.149722
0.4107	254.741322
0.4108	256.101912
0.4109	239.697084
0.411	237.027736
0.4111	248.378944
0.4112	254.974566
0.4113	239.606378
0.4114	232.622016
0.4115	234.164018
0.4116	243.195744
0.4117	260.054102
0.4118	237.753384
0.4119	261.531314
0.412	266.636766
0.4121	235.783768
0.4122	230.056332
0.4123	229.628718
0.4124	227.646144
0.4125	231.546502
0.4126	230.0045
0.4127	239.088058
0.4128	241.718532
0.4129	232.971882
0.413	258.084486
0.4131	225.287788
0.4132	208.092522
0.4133	214.84364
0.4134	221.439262
0.4135	213.405302
0.4136	218.899494
0.4137	238.025502
0.4138	224.30298
0.4139	204.295828
0.414	209.997348
0.4141	201.004496
0.4142	201.406194
0.4143	226.091184
0.4144	220.856152
0.4145	213.703336
0.4146	211.487518
0.4147	210.321298
0.4148	202.546498
0.4149	214.273488
0.415	214.143908
0.4151	191.052752
0.4152	212.550074
0.4153	219.301192
0.4154	203.596096
0.4155	214.765892
0.4156	196.002708
0.4157	205.51388
0.4158	223.188592
0.4159	216.385642
0.416	207.315042
0.4161	196.339616
0.4162	218.705124
0.4163	224.471434
0.4164	206.524604
0.4165	201.250698
0.4166	188.266782
0.4167	187.074646
0.4168	195.445514
0.4169	222.696188
0.417	213.534882
0.4171	202.028178
0.4172	200.615756
0.4173	204.80119
0.4174	221.361514
0.4175	212.200208
0.4176	203.103692
0.4177	210.89145
0.4178	224.445518
0.4179	223.940156
0.418	214.986178
0.4181	225.33962
0.4182	234.837834
0.4183	204.904854
0.4184	208.053648
0.4185	212.25204
0.4186	218.847662
0.4187	235.071078
0.4188	237.870006
0.4189	208.196186
0.419	211.47456
0.4191	218.303426
0.4192	200.045604
0.4193	219.11978
0.4194	220.817278
0.4195	233.412454
0.4196	246.13721
0.4197	234.008522
0.4198	212.848108
0.4199	223.927198
0.42	218.66625
0.4201	226.479924
0.4202	218.47188
0.4203	222.68323
0.4204	224.147484
0.4205	210.69708
0.4206	216.385642
0.4207	221.607716
0.4208	243.688148
0.4209	257.099678
0.421	240.280194
0.4211	229.525054
0.4212	241.770364
0.4213	248.689936
0.4214	240.88922
0.4215	239.891454
0.4216	245.009864
0.4217	240.189488
0.4218	235.38207
0.4219	237.00182
0.422	229.3566
0.4221	238.090292
0.4222	252.784664
0.4223	259.302538
0.4224	262.360626
0.4225	244.141678
0.4226	241.86107
0.4227	245.761428
0.4228	237.45535
0.4229	247.36822
0.423	253.626934
